"","wbgene","gene_name","gene_id","concise_description","automated_description","gene_class_description","go_term","go_name","go_description","inside_CI","eqtl","vars","pc_vars","go_annotation"
"11","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0042542","response to hydrogen peroxide","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus.",FALSE,TRUE,FALSE,FALSE,NA
"12","WBGene00001758","gst-10","Y45G12C.2a","gst-10 encodes a glutathione S-transferase with similarity  to the pi class of human glutathione S-transferases; GST-10 catalyzes the conjugation  of glutathione to 4-hydroxynonenal in vitro. ","Is an ortholog of human GSTP1 (glutathione S-transferase  pi 1). Exhibits glutathione transferase activity. Is involved in several processes,  including determination of adult lifespan; heat acclimation; and response to UV-C.  Is expressed in head and tail. Is used to study obesity. ","Glutathione S-Transferase ","GO:0055114","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",FALSE,TRUE,FALSE,FALSE,NA
"13","WBGene00002055","ifc-1","F37B4.2","ifc-1 encodes a nonessential intermediate filament protein;  IFC-1 is predicted to function as a structural component of the cytoskeleton; IFC-1  has no function in RNAi assays. ","Is an ortholog of several human genes including KRT1 (keratin  1); KRT71 (keratin 71); and KRT76 (keratin 76). Is expressed in hypodermis; intestine;  and pharynx. Human ortholog(s) of this gene are implicated in several diseases,  including epidermolysis bullosa simplex (multiple); hypotrichosis (multiple); and  palmoplantar keratosis (multiple). Human KRT1 exhibits carbohydrate binding activity  and protein heterodimerization activity. Is predicted to encode a protein with the  following domains: Intermediate filament, rod domain and Intermediate filament,  rod domain, coil 1B. ","Intermediate Filament, C ","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",TRUE,FALSE,TRUE,FALSE,NA
"14","WBGene00002055","ifc-1","F37B4.2","ifc-1 encodes a nonessential intermediate filament protein;  IFC-1 is predicted to function as a structural component of the cytoskeleton; IFC-1  has no function in RNAi assays. ","Is an ortholog of several human genes including KRT1 (keratin  1); KRT71 (keratin 71); and KRT76 (keratin 76). Is expressed in hypodermis; intestine;  and pharynx. Human ortholog(s) of this gene are implicated in several diseases,  including epidermolysis bullosa simplex (multiple); hypotrichosis (multiple); and  palmoplantar keratosis (multiple). Human KRT1 exhibits carbohydrate binding activity  and protein heterodimerization activity. Is predicted to encode a protein with the  following domains: Intermediate filament, rod domain and Intermediate filament,  rod domain, coil 1B. ","Intermediate Filament, C ","GO:0005882","intermediate filament","A cytoskeletal structure that forms a distinct elongated structure, characteristically 10 nm in diameter, that occurs in the cytoplasm of eukaryotic cells. Intermediate filaments form a fibrous system, composed of chemically heterogeneous subunits and involved in mechanically integrating the various components of the cytoplasmic space. Intermediate filaments may be divided into five chemically distinct classes: Type I, acidic keratins; Type II, basic keratins; Type III, including desmin, vimentin and others; Type IV, neurofilaments and related filaments; and Type V, lamins.",TRUE,FALSE,TRUE,FALSE,NA
"15","WBGene00002120","ins-37","F08G2.6","ins-37 encodes an insulin-like peptide. ","Is predicted to have hormone activity. Is expressed in intestine. ","INSulin related ","GO:0005179","hormone activity","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process.",FALSE,TRUE,FALSE,FALSE,NA
"16","WBGene00002120","ins-37","F08G2.6","ins-37 encodes an insulin-like peptide. ","Is predicted to have hormone activity. Is expressed in intestine. ","INSulin related ","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.",FALSE,TRUE,FALSE,FALSE,NA
"17","WBGene00002120","ins-37","F08G2.6","ins-37 encodes an insulin-like peptide. ","Is predicted to have hormone activity. Is expressed in intestine. ","INSulin related ","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.",FALSE,TRUE,FALSE,FALSE,NA
"18","WBGene00003579","ndx-2","W02G9.1","ndx-2 encodes a NUDIX hydrolase; by sequence comparison, NDX-2  is predicted to be orthologous to human NUDT5 which, in vitro, possesses ADP-sugar  diphosphatase activity; in C. elegans, loss of ndx-2 activity via RNA-mediated interference  (RNAi) does not result in any obvious abnormalities, consistent with the proposed  nonessential roles for Nudix proteins in eliminating potentially toxic nucleotide  metabolites from cells and modulating levels of metabolic intermediates by shuttling  them into alternative biochemical pathways. ","Is an ortholog of human NUDT5 (nudix hydrolase 5). Is predicted  to have ADP-ribose diphosphatase activity. ","NuDiX family ","GO:0005634","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",TRUE,FALSE,TRUE,TRUE,NA
"19","WBGene00003579","ndx-2","W02G9.1","ndx-2 encodes a NUDIX hydrolase; by sequence comparison, NDX-2  is predicted to be orthologous to human NUDT5 which, in vitro, possesses ADP-sugar  diphosphatase activity; in C. elegans, loss of ndx-2 activity via RNA-mediated interference  (RNAi) does not result in any obvious abnormalities, consistent with the proposed  nonessential roles for Nudix proteins in eliminating potentially toxic nucleotide  metabolites from cells and modulating levels of metabolic intermediates by shuttling  them into alternative biochemical pathways. ","Is an ortholog of human NUDT5 (nudix hydrolase 5). Is predicted  to have ADP-ribose diphosphatase activity. ","NuDiX family ","GO:0006753","nucleoside phosphate metabolic process","The chemical reactions and pathways involving any phosphorylated nucleoside.",TRUE,FALSE,TRUE,TRUE,NA
"20","WBGene00003579","ndx-2","W02G9.1","ndx-2 encodes a NUDIX hydrolase; by sequence comparison, NDX-2  is predicted to be orthologous to human NUDT5 which, in vitro, possesses ADP-sugar  diphosphatase activity; in C. elegans, loss of ndx-2 activity via RNA-mediated interference  (RNAi) does not result in any obvious abnormalities, consistent with the proposed  nonessential roles for Nudix proteins in eliminating potentially toxic nucleotide  metabolites from cells and modulating levels of metabolic intermediates by shuttling  them into alternative biochemical pathways. ","Is an ortholog of human NUDT5 (nudix hydrolase 5). Is predicted  to have ADP-ribose diphosphatase activity. ","NuDiX family ","GO:0016787","hydrolase activity","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",TRUE,FALSE,TRUE,TRUE,NA
"21","WBGene00003579","ndx-2","W02G9.1","ndx-2 encodes a NUDIX hydrolase; by sequence comparison, NDX-2  is predicted to be orthologous to human NUDT5 which, in vitro, possesses ADP-sugar  diphosphatase activity; in C. elegans, loss of ndx-2 activity via RNA-mediated interference  (RNAi) does not result in any obvious abnormalities, consistent with the proposed  nonessential roles for Nudix proteins in eliminating potentially toxic nucleotide  metabolites from cells and modulating levels of metabolic intermediates by shuttling  them into alternative biochemical pathways. ","Is an ortholog of human NUDT5 (nudix hydrolase 5). Is predicted  to have ADP-ribose diphosphatase activity. ","NuDiX family ","GO:0019693","ribose phosphate metabolic process","The chemical reactions and pathways involving ribose phosphate, any phosphorylated ribose sugar.",TRUE,FALSE,TRUE,TRUE,NA
"22","WBGene00003579","ndx-2","W02G9.1","ndx-2 encodes a NUDIX hydrolase; by sequence comparison, NDX-2  is predicted to be orthologous to human NUDT5 which, in vitro, possesses ADP-sugar  diphosphatase activity; in C. elegans, loss of ndx-2 activity via RNA-mediated interference  (RNAi) does not result in any obvious abnormalities, consistent with the proposed  nonessential roles for Nudix proteins in eliminating potentially toxic nucleotide  metabolites from cells and modulating levels of metabolic intermediates by shuttling  them into alternative biochemical pathways. ","Is an ortholog of human NUDT5 (nudix hydrolase 5). Is predicted  to have ADP-ribose diphosphatase activity. ","NuDiX family ","GO:0046872","metal ion binding","Interacting selectively and non-covalently with any metal ion.",TRUE,FALSE,TRUE,TRUE,NA
"23","WBGene00003579","ndx-2","W02G9.1","ndx-2 encodes a NUDIX hydrolase; by sequence comparison, NDX-2  is predicted to be orthologous to human NUDT5 which, in vitro, possesses ADP-sugar  diphosphatase activity; in C. elegans, loss of ndx-2 activity via RNA-mediated interference  (RNAi) does not result in any obvious abnormalities, consistent with the proposed  nonessential roles for Nudix proteins in eliminating potentially toxic nucleotide  metabolites from cells and modulating levels of metabolic intermediates by shuttling  them into alternative biochemical pathways. ","Is an ortholog of human NUDT5 (nudix hydrolase 5). Is predicted  to have ADP-ribose diphosphatase activity. ","NuDiX family ","GO:0047631","ADP-ribose diphosphatase activity","Catalysis of the reaction: ADP-ribose + H2O = AMP + D-ribose 5-phosphate.",TRUE,FALSE,TRUE,TRUE,NA
"24","WBGene00004130","ketn-1","F54E2.3a","ketn-1 encodes an ortholog of kettin (in D. melanogaster, SALLIMUS),  an invertebrate isoform or paralog of titin; ketn-1 is transcriptionally upregulated  two-fold by hypoxia, requires both HIF-1 and VHL-1 for this induction, and contains  three predicted HIF-1 binding sites in its predicted 5' regulatory region; ketn-1's  induction by hypoxia correlates with upregulation of other genes required for collagen  synthesis (phy-2 and bli-3), encoding lectin domains (C31G12.2, F35D11.10, and F47C12.2),  or encoding a chitin-binding protein (K04H4.2); ketn-1 is expressed in the reproductive  system and several muscle types (body wall, vulval, anal depressor, and probably  pharyngeal); KETN-1 colocalizes with actin to I-bands in muscle cells, but more  narrowly than actin, and falls into repeated blocks alternating with non-overlapping  blocks of DEB-1/vinculin. ","Exhibits actin filament binding activity. Localizes to the  I band. Is expressed in anal depressor muscle; body wall musculature; male gonad;  and pharyngeal muscle cell. ","KETtiN (Drosophila actin-binding) homolog ","GO:0031674","I band","A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end.",TRUE,FALSE,TRUE,TRUE,NA
"25","WBGene00004130","ketn-1","F54E2.3a","ketn-1 encodes an ortholog of kettin (in D. melanogaster, SALLIMUS),  an invertebrate isoform or paralog of titin; ketn-1 is transcriptionally upregulated  two-fold by hypoxia, requires both HIF-1 and VHL-1 for this induction, and contains  three predicted HIF-1 binding sites in its predicted 5' regulatory region; ketn-1's  induction by hypoxia correlates with upregulation of other genes required for collagen  synthesis (phy-2 and bli-3), encoding lectin domains (C31G12.2, F35D11.10, and F47C12.2),  or encoding a chitin-binding protein (K04H4.2); ketn-1 is expressed in the reproductive  system and several muscle types (body wall, vulval, anal depressor, and probably  pharyngeal); KETN-1 colocalizes with actin to I-bands in muscle cells, but more  narrowly than actin, and falls into repeated blocks alternating with non-overlapping  blocks of DEB-1/vinculin. ","Exhibits actin filament binding activity. Localizes to the  I band. Is expressed in anal depressor muscle; body wall musculature; male gonad;  and pharyngeal muscle cell. ","KETtiN (Drosophila actin-binding) homolog ","GO:0051015","actin filament binding","Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits.",TRUE,FALSE,TRUE,TRUE,NA
"26","WBGene00005213","srg-56","C24B9.10","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,TRUE,NA
"27","WBGene00005213","srg-56","C24B9.10","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,TRUE,NA
"28","WBGene00005213","srg-56","C24B9.10","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,TRUE,NA
"29","WBGene00005213","srg-56","C24B9.10","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,TRUE,NA
"30","WBGene00005214","srg-57","C24B9.14","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,TRUE,NA
"31","WBGene00005214","srg-57","C24B9.14","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,TRUE,NA
"32","WBGene00005214","srg-57","C24B9.14","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,TRUE,NA
"33","WBGene00005214","srg-57","C24B9.14","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,TRUE,NA
"34","WBGene00005215","srg-58","R05D8.6","none available ","Is predicted to have transmembrane signaling receptor activity.  Is expressed in AIML; AIMR; ASIL; and ASIR. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,TRUE,NA
"35","WBGene00005215","srg-58","R05D8.6","none available ","Is predicted to have transmembrane signaling receptor activity.  Is expressed in AIML; AIMR; ASIL; and ASIR. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,TRUE,NA
"36","WBGene00005215","srg-58","R05D8.6","none available ","Is predicted to have transmembrane signaling receptor activity.  Is expressed in AIML; AIMR; ASIL; and ASIR. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,TRUE,NA
"37","WBGene00005215","srg-58","R05D8.6","none available ","Is predicted to have transmembrane signaling receptor activity.  Is expressed in AIML; AIMR; ASIL; and ASIR. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,TRUE,NA
"38","WBGene00005216","srg-59","C24B9.7","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,TRUE,NA
"39","WBGene00005216","srg-59","C24B9.7","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,TRUE,NA
"40","WBGene00005216","srg-59","C24B9.7","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,TRUE,NA
"41","WBGene00005216","srg-59","C24B9.7","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,TRUE,NA
"42","WBGene00005217","srg-60","C24B9.15","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,TRUE,NA
"43","WBGene00005217","srg-60","C24B9.15","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,TRUE,NA
"44","WBGene00005217","srg-60","C24B9.15","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,TRUE,NA
"45","WBGene00005217","srg-60","C24B9.15","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,TRUE,NA
"46","WBGene00005218","srg-61","C24B9.11","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,FALSE,NA
"47","WBGene00005218","srg-61","C24B9.11","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,FALSE,NA
"48","WBGene00005218","srg-61","C24B9.11","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,FALSE,NA
"49","WBGene00005218","srg-61","C24B9.11","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,FALSE,NA
"50","WBGene00005219","srg-62","C24B9.12","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",TRUE,FALSE,TRUE,FALSE,NA
"51","WBGene00005219","srg-62","C24B9.12","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0007606","sensory perception of chemical stimulus","The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process.",TRUE,FALSE,TRUE,FALSE,NA
"52","WBGene00005219","srg-62","C24B9.12","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.",TRUE,FALSE,TRUE,FALSE,NA
"53","WBGene00005219","srg-62","C24B9.12","none available ","Is predicted to have transmembrane signaling receptor activity. ","Serpentine Receptor, class G (gamma) ","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.",TRUE,FALSE,TRUE,FALSE,NA
